Datenum,Smoothed S,Smoothed U,Smoothed V
07-Jan-2020,196.459548488015,-184.720505143346,61.346562668523
08-Jan-2020,196.414147781677,-185.405602774759,58.8951886370049
09-Jan-2020,196.392042749664,-186.057241620971,56.634472618864
10-Jan-2020,196.393233391975,-186.675421681982,54.5644146141004
11-Jan-2020,196.41771970861,-187.260142957792,52.685014622714
12-Jan-2020,196.46550169957,-187.811405448401,50.9962726447048
13-Jan-2020,196.536579364855,-188.329209153809,49.4981886800729
14-Jan-2020,196.630952704464,-188.813554074016,48.1907627288181
15-Jan-2020,196.748621718397,-189.264440209023,47.0739947909406
16-Jan-2020,196.889586406655,-189.681867558828,46.1478848664404
17-Jan-2020,197.053846769238,-190.065836123432,45.4124329553173
18-Jan-2020,197.241402806145,-190.416345902836,44.8676390575715
19-Jan-2020,197.452254517376,-190.733396897038,44.513503173203
20-Jan-2020,197.778212524303,-191.087819478585,44.458742226313
21-Jan-2020,198.160613859757,-191.433265622843,44.6160437527209
22-Jan-2020,198.569538958702,-191.74377860054,44.9703923648935
23-Jan-2020,198.976124650141,-191.997113001668,45.4976805811367
24-Jan-2020,199.352564157121,-192.174734735487,46.1647088255957
25-Jan-2020,199.672107096728,-192.26182103052,46.9291854282549
26-Jan-2020,199.909059480091,-192.247260434559,47.7397266249382
27-Jan-2020,200.036506176365,-192.046014850273,48.7784823713713
28-Jan-2020,200.065581489563,-191.685730180867,50.0038982214294
29-Jan-2020,199.999736076605,-191.201519089556,51.3356163184392
30-Jan-2020,199.848750662109,-190.608075255068,52.7638799969844
31-Jan-2020,199.622268008428,-189.920839057994,54.2755985689524
01-Feb-2020,199.342304293772,-189.177083987796,55.8220884607953
02-Feb-2020,199.036077681268,-188.38219595936,57.4908305080479
03-Feb-2020,198.728291509602,-187.587443675311,59.1860370358027
04-Feb-2020,198.452302181951,-186.864498601259,60.7599060076973
05-Feb-2020,198.224057743041,-186.245814321038,62.1552527564222
06-Feb-2020,198.062356143468,-185.767228976778,63.3174947524646
07-Feb-2020,197.985511678576,-185.463432946467,64.1940001095239
08-Feb-2020,198.007897599619,-185.337107606053,64.8183030518858
09-Feb-2020,198.133603902718,-185.389327405967,65.1979447946589
10-Feb-2020,198.366442962118,-185.619702791929,65.3440033673203
11-Feb-2020,198.709949530194,-186.026380204951,65.2710936137156
12-Feb-2020,199.167380737448,-186.606042081334,64.9973671920591
13-Feb-2020,199.741716092509,-187.353906852669,64.5445125749332
14-Feb-2020,200.409940015657,-188.205426588119,64.0706414609867
15-Feb-2020,201.127033895733,-189.11940189034,63.5511711023903
16-Feb-2020,201.847966628746,-190.051935829884,62.9710791964725
17-Feb-2020,202.527694617879,-190.956433945206,62.3249038857194
18-Feb-2020,203.121161773484,-191.783604242656,61.6167437577747
19-Feb-2020,203.583299513084,-192.481457196487,60.8602578454399
20-Feb-2020,203.880760423129,-193.110068127509,59.7719576111571
21-Feb-2020,204.026671774051,-193.658450480724,58.4406757466875
22-Feb-2020,204.047251030084,-194.102645468965,57.0206850920655
23-Feb-2020,203.968764280154,-194.444718279677,55.5930220590298
24-Feb-2020,203.825542899672,-194.70130644099,54.2153548379602
25-Feb-2020,203.641571609808,-194.872588733671,52.9694560474106
26-Feb-2020,203.433919131053,-194.985457917177,51.789881821708
27-Feb-2020,203.234598376661,-195.076224180523,50.6601803723593
28-Feb-2020,203.058002284515,-195.141518766168,49.6612244811173
29-Feb-2020,202.933090862491,-195.210691298262,48.8026091062076
01-Mar-2020,202.885450062295,-195.309693930318,48.0907435952178
02-Mar-2020,202.939886828573,-195.464609583912,47.5293588485745
03-Mar-2020,203.213972419121,-195.743947931639,47.3036858935425
04-Mar-2020,203.660338981733,-196.114925738053,47.3642446441214
05-Mar-2020,204.235898930611,-196.547851801455,47.6665792012076
06-Mar-2020,204.901844946368,-197.016126953889,48.1712578525947
07-Mar-2020,205.623649976023,-197.496244061148,48.8438730729726
08-Mar-2020,206.371067233004,-197.967788022768,49.6550415239285
09-Mar-2020,206.989559451579,-198.378799727108,50.195452654537
10-Mar-2020,207.454973071615,-198.709627473332,50.4652373280115
11-Mar-2020,207.742946348184,-198.942620243416,50.4554466497029
12-Mar-2020,207.828909351558,-199.062127702147,50.1480519671
13-Mar-2020,207.688083967209,-199.05450019712,49.5159448698292
14-Mar-2020,207.295483895813,-198.908088758745,48.522937189655
15-Mar-2020,206.670354047803,-198.556817399619,47.4776209396659
16-Mar-2020,205.862096181787,-198.033351659692,46.4381526526057
17-Mar-2020,204.919623485703,-197.369362471511,45.4633439578319
18-Mar-2020,203.891360576823,-196.595526160226,44.6126615813158
19-Mar-2020,202.825243501746,-195.741524443585,43.9462273456428
20-Mar-2020,201.768719736403,-194.836044431935,43.5248181700119
21-Mar-2020,200.810974240123,-193.948183539183,43.468293367797
22-Mar-2020,199.99533976729,-193.128431721729,43.7320286574467
23-Mar-2020,199.366232418116,-192.427160141323,44.2767655855642
24-Mar-2020,198.969151638639,-191.894621165068,45.0686115269073
25-Mar-2020,198.850680220728,-191.580948365419,46.0790396843889
26-Mar-2020,199.058484302078,-191.53615652018,47.2848890890764
27-Mar-2020,199.433623935423,-191.678876205405,48.3558033309159
28-Mar-2020,199.946711886012,-191.993284171368,49.2382891396732
29-Mar-2020,200.56405730859,-192.460418377225,49.8741760265969
30-Mar-2020,201.2476657474,-193.058177991007,50.2006162844185
31-Mar-2020,201.95523913618,-193.761323389623,50.1500849873523
01-Apr-2020,202.640175798167,-194.541476158862,49.6503799910953
02-Apr-2020,203.33557604884,-195.41846284405,48.7814367959429
