,Q,RAIN,T2,G,surfM,date
0,0.0,0.0,4.54407564051013,7.9,0.6214144487285195,2022-08-01 22:00:00
1,0.0,0.0,4.08405366785388,0.2,0.2534088462559294,2022-08-01 23:00:00
2,0.0,0.0,4.22406831629138,0.0,0.02433733606912156,2022-08-02 00:00:00
3,0.0,0.0,4.10407319910388,0.0,0.5749892023662307,2022-08-02 01:00:00
4,0.0,0.0,4.384071978400755,0.0,0.6793511529496009,2022-08-02 02:00:00
5,0.0,0.0,4.374062212775755,1.0,0.6127554365171636,2022-08-02 03:00:00
6,0.0,0.0,4.624062212775755,9.4,0.8742737752044007,2022-08-02 04:00:00
7,0.0,0.0,5.184059771369505,36.1,0.8350660686641882,2022-08-02 05:00:00
8,0.0,0.0,4.33405366785388,73.5,0.9182174568717096,2022-08-02 06:00:00
9,0.25895635024065067,0.0,4.624062212775755,150.1,1.461819166014306,2022-08-02 07:00:00
10,1.8587081295314665,0.0,4.264076861213255,355.9,1.9236510255322083,2022-08-02 08:00:00
11,1.594083825774699,0.0,4.54407564051013,303.6,1.5558160601723807,2022-08-02 09:00:00
12,2.41542636421207,0.0,5.254067095588255,384.1,2.389831334717088,2022-08-02 10:00:00
13,2.528921617237337,0.0,5.45404878504138,399.6,2.478319376638242,2022-08-02 11:00:00
14,2.940407346640468,0.0,5.324074419807005,585.8000000000001,2.8220867453095595,2022-08-02 12:00:00
15,3.533514499460009,0.0,5.194069536994505,795.5,3.3359208877683355,2022-08-02 13:00:00
16,3.3015689368459284,0.0,5.384071978400755,700.1,3.1048071894838944,2022-08-02 14:00:00
17,3.548215961102873,0.0,5.194069536994505,649.5,3.3747110424143827,2022-08-02 15:00:00
18,1.9012288276555969,0.0,5.514076861213255,214.6,1.8475793820196864,2022-08-02 16:00:00
19,1.758265443229452,0.0,5.574074419807005,171.6,1.7331548279153526,2022-08-02 17:00:00
20,1.7013701416449118,0.0,5.314064654182005,136.5,1.6835222110385655,2022-08-02 18:00:00
21,1.6221276278856638,0.0,5.22406831629138,99.5,1.6094474267729897,2022-08-02 19:00:00
22,1.1382997986406744,0.0,4.95404878504138,61.5,1.1348365323703933,2022-08-02 20:00:00
23,0.8767876092151912,0.0,4.934059771369505,26.5,0.8822129367671722,2022-08-02 21:00:00
24,0.8693041280716525,0.0,4.71405855066638,6.3,0.8796741357209203,2022-08-02 22:00:00
25,0.8762449814282138,0.0,4.984047564338255,0.0,0.9168961675084234,2022-08-02 23:00:00
26,0.8017423294945965,0.0,4.814064654182005,0.0,0.8404809974468708,2022-08-03 00:00:00
27,0.7559520082174405,0.0,4.874062212775755,0.0,0.7811441990890249,2022-08-03 01:00:00
28,0.7041674527412647,0.0,4.694069536994505,0.0,0.7393672719838673,2022-08-03 02:00:00
29,0.5649509723277877,0.0,4.504067095588255,0.8,0.5752520748451639,2022-08-03 03:00:00
30,0.7833759390258219,0.0,4.824074419807005,32.0,0.7910963347240958,2022-08-03 04:00:00
31,0.7672877117078019,0.0,4.984047564338255,63.100000000000016,0.7567221045287837,2022-08-03 05:00:00
32,0.46136412466226917,0.0,4.984047564338255,105.6,0.4204505594556886,2022-08-03 06:00:00
33,1.5188192563248528,0.0,5.684059771369505,240.2,1.4534797875482521,2022-08-03 07:00:00
34,2.6729516153589947,0.0,6.08405366785388,379.0,2.5757492230754426,2022-08-03 08:00:00
35,3.033220293991029,0.0,5.984047564338255,496.6,2.8880422689026934,2022-08-03 09:00:00
36,2.9812494049051317,0.0,5.694069536994505,539.9,2.8095506802576704,2022-08-03 10:00:00
37,3.614722573509327,0.0,5.674050005744505,657.3,3.40325381424075,2022-08-03 11:00:00
38,4.078710586242827,0.0,6.35407319910388,704.5,3.8415976417029247,2022-08-03 12:00:00
39,3.721160126536243,0.0,6.674050005744505,480.6,3.570679482170943,2022-08-03 13:00:00
40,4.538609056798143,0.0,7.58405366785388,543.4,4.397543007749563,2022-08-03 14:00:00
41,3.7896280775823605,0.0,6.564064654182005,471.0,3.643000943219037,2022-08-03 15:00:00
42,2.7949086751847654,0.0,5.934059771369505,329.6,2.706510616369653,2022-08-03 16:00:00
43,2.206753713945432,0.0,5.95404878504138,202.2,2.1809301490678585,2022-08-03 17:00:00
44,1.9010466534085777,0.0,6.694069536994505,105.6,1.9160006733311223,2022-08-03 18:00:00
45,1.835747086128399,0.0,7.15406099207263,64.2,1.8424580366979422,2022-08-03 19:00:00
46,1.5083189047061876,0.0,5.84406343347888,43.7,1.499252512717052,2022-08-03 20:00:00
47,2.7727707578442455,0.5077303727710845,6.624062212775755,20.3,2.2510681721895134,2022-08-03 21:00:00
48,3.2568878908306163,0.7434788982666722,6.83405366785388,2.1999999999999997,2.4870133607096077,2022-08-03 22:00:00
49,2.7457828597414995,0.7358259384186983,6.314064654182005,0.0,2.0444476076426645,2022-08-03 23:00:00
50,2.4872121023932077,0.784148943533214,5.97406831629138,0.0,1.7407223840677983,2022-08-04 00:00:00
51,2.3384306952336775,0.7045449104575477,5.89405122644763,0.0,1.6699109722666732,2022-08-04 01:00:00
52,2.1620694169519075,0.3816053846700622,5.95404878504138,0.0,1.8206093749488137,2022-08-04 02:00:00
53,1.9358931281997607,0.0,6.424050005744505,0.0,1.9722394497857687,2022-08-04 03:00:00
54,2.175749660658542,0.06268337206553394,6.66407075769763,8.1,2.0980172413752367,2022-08-04 04:00:00
55,2.9499899070334226,0.9525566752616795,6.66407075769763,19.4,1.9880702860687764,2022-08-04 05:00:00
56,5.440391871197039,2.653472754178602,6.484047564338255,44.3,2.765491175356832,2022-08-04 06:00:00
