,Q,RAIN,T2,G,surfM,N,LWin,LWout,H,LE,B,QRR,ME,U2,EVAPORATION,SUBLIMATION,CONDENSATION,DEPOSITION,RH2,date
2022-08-07 03:00:00,0.0005660045976930888,0.0,2.1440512264476297,0.0,0.7313583493232156,0.9600000000000003,319.2,-307.79105740137345,19.72869970694584,21.325383866778147,-1.1751936633318958,0.0,51.287832509018656,3.810000000000001,0.0,0.0,1.3201612565941625e-05,1.5443666374575607e-05,100.0,2022-08-07 03:00:00
2022-08-07 04:00:00,0.0007318746812357196,0.2201093901343859,2.0040670955882547,4.6000000000000005,0.6643933445709802,0.9900000000000001,321.4,-307.79101929011284,15.34713280500637,16.592167603648118,-1.3282908873914685,0.45819970055123266,46.59178993170139,3.369999999999999,0.0,0.0,9.57833375365406e-06,1.2627370850034607e-05,100.0,2022-08-07 04:00:00
2022-08-07 05:00:00,0.0003904912418901744,0.0,1.7640768612132547,19.1,0.5113322033158938,1.0,322.6,-307.79067651465374,7.003815743570998,7.5357693371793175,-1.436409148210348,0.0,35.85809941788623,2.1200000000000006,0.0,0.0,3.996757146490534e-06,6.046886643478904e-06,100.0,2022-08-07 05:00:00
2022-08-07 06:00:00,0.0004711505053501781,0.0,1.6640707576976297,48.1,0.6132545844640365,1.0,322.7,-307.79112341293614,4.793180608873843,4.7573137347183225,-1.463379427551049,0.0,43.00559150310494,1.7399999999999995,0.0,0.0,6.850531777994384e-06,0.0,100.0,2022-08-07 06:00:00
2022-08-07 07:00:00,0.0009247591308738239,0.0,1.8240744198070047,125.70000000000003,1.1979426628880308,1.0,324.2,-307.79112341293614,8.21781429248278,8.199910118398172,-1.1098961090974286,0.0,84.00790488884738,2.31,0.0,0.0,1.1807870570493369e-05,0.0,100.0,2022-08-07 07:00:00
2022-08-07 08:00:00,0.0013438397073464272,0.0,1.9040609920726297,212.8,1.7309840591511012,1.0,327.0,-307.79112341293614,6.83318864565086,6.835767039185454,-0.014231382409194141,0.0,121.38840088949098,2.009999999999999,0.0,0.0,9.843504536427054e-06,0.0,100.0,2022-08-07 08:00:00
2022-08-07 09:00:00,0.0014847138828750991,0.004987604990558594,1.8940512264476297,233.0,1.8875064241529143,1.0,326.0,-307.79112341293614,8.606690889275308,8.607587059562558,0.0,0.013661468774827384,132.36481600467656,2.329999999999999,0.0,0.0,1.2394925365770084e-05,0.0,100.0,2022-08-07 09:00:00
2022-08-07 10:00:00,0.0015103366103619083,0.11540965063110481,1.8940512264476297,214.8,1.7717488422026624,1.0,326.1,-307.79112341293614,8.171519196102,8.163321660719948,0.0,0.2465878924056631,124.24710533629151,2.25,0.0,0.0,1.1755183191436723e-05,0.0,100.0,2022-08-07 10:00:00
2022-08-07 11:00:00,0.0020194778717965863,0.22493452119319474,2.0140768612132547,292.7,2.2573895315811146,1.0,328.4,-307.79112341293614,7.752473356517216,7.709491974236426,0.0,0.46949876163418847,158.30354067945163,2.11,0.0,0.0,1.1101668442900455e-05,0.0,99.9000015258789,2022-08-07 11:00:00
2022-08-07 12:00:00,0.0019009020584648305,0.15205514909897552,1.7040487850413797,293.7,2.1838549177240445,1.0,328.5,-307.79112341293614,5.190932401119558,4.786896183437704,0.0,0.28088716058491986,153.14679233220605,1.8000000000000005,0.0,0.0,6.893130504150293e-06,0.0,99.30000305175781,2022-08-07 12:00:00
2022-08-07 13:00:00,0.0022356216292367345,0.21505947791245614,1.9540487850413797,333.3,2.5057069505401284,1.0,328.8,-307.79112341293614,7.806558551511216,7.8138973209159825,0.0,0.4351182082679737,175.71725066775906,2.1499999999999995,0.0,0.0,1.1252012142119014e-05,0.0,100.0,2022-08-07 13:00:00
2022-08-07 14:00:00,0.002409974556635665,0.16303354975899645,2.1640707576976297,370.4,2.7630592387640043,1.0,329.1,-307.79112341293614,9.249017551913765,8.740877031349557,0.0,0.37937610169291314,193.76454727202014,2.27,0.0,0.0,1.2586862925143362e-05,0.0,99.19999694824219,2022-08-07 14:00:00
2022-08-07 15:00:00,0.0021279900555116905,0.2918516076101971,2.2340475643382547,263.2,2.2648724371630093,1.0,326.3,-307.79112341293614,15.234575500553756,14.912073327018327,0.0,0.68156760888912,158.82829302352505,3.14,0.0,0.0,2.1473385590906385e-05,0.0,99.5999984741211,2022-08-07 15:00:00
2022-08-07 16:00:00,0.0016151717394513605,0.07151599490098698,2.5840536678538797,234.8,1.9043578975304574,0.9399999999999995,319.6,-307.79112341293614,13.471885504570702,10.369683737566175,0.0,0.21931035102362414,133.5465561802244,2.6299999999999994,0.0,0.0,1.4932344582095292e-05,0.0,96.19999694824219,2022-08-07 16:00:00
2022-08-07 17:00:00,0.001572876720520803,0.27935892186622696,2.6440512264476297,194.8,1.6020912151496232,0.8800000000000002,314.3,-307.79112341293614,15.423602864200296,8.596873470820233,0.0,0.7834031919607116,112.34955611404514,2.8400000000000007,0.0,0.0,1.2379497797981136e-05,0.0,92.80000305175781,2022-08-07 17:00:00
2022-08-07 18:00:00,0.0011933845576744704,0.24001127213358617,2.8440634334788797,106.6,1.2024272750193998,0.9399999999999995,321.2,-307.79112341293614,17.25659373945411,8.582813173060257,0.0,0.7285129597481413,84.32239645932636,2.939999999999999,0.0,0.0,1.2359250969206772e-05,0.0,91.19999694824219,2022-08-07 18:00:00
2022-08-07 19:00:00,0.0006822528718249454,0.0,2.5440756405101297,70.8,0.8694691419833094,0.9499999999999997,320.0,-307.79112341293614,13.084626397354548,6.22679969098792,0.0,0.0,60.97310267540636,2.6000000000000005,0.0,0.0,8.966591555022603e-06,0.0,91.9000015258789,2022-08-07 19:00:00
2022-08-07 20:00:00,0.0006254404668210921,0.1877651609190123,2.5040670955882547,47.2,0.561200874162765,0.8900000000000002,314.0,-307.79112341293614,8.567109657268192,4.449380709116078,-0.0024072243837737835,0.49707080137226783,39.355230530436614,2.0500000000000003,0.0,0.0,6.407108221127152e-06,0.0,92.69999694824219,2022-08-07 20:00:00
2022-08-07 21:00:00,0.0005276551117365679,0.2267155467676342,2.2840658748851297,19.2,0.38905312549988513,0.91,315.2,-307.79112341293614,7.574966677052485,4.150183682871693,-0.38049917387597443,0.5423292347324442,27.283057007844466,1.9800000000000002,0.0,0.0,5.976264503335238e-06,0.0,93.80000305175781,2022-08-07 21:00:00
2022-08-07 22:00:00,0.0005975593179834963,0.21755899583736674,2.3840719784007547,2.8,0.4955795221384355,0.9800000000000003,322.5,-307.79112341293296,10.575905971023497,8.394831830290931,-0.6362129957539772,0.5452126483226782,34.75341404095017,2.3500000000000005,0.0,0.0,5.412625896367347e-06,5.889142501104087e-06,96.19999694824219,2022-08-07 22:00:00
2022-08-07 23:00:00,0.0003276726605678866,0.05045524166896183,2.2840658748851297,0.0,0.3625897647575378,0.9900000000000001,322.9,-307.79112341293467,5.854285446983352,5.223730259619971,-0.9010124627782694,0.14138594323778764,25.427265774128166,1.75,0.0,0.0,3.1510812137110174e-06,3.855937156088338e-06,97.5999984741211,2022-08-07 23:00:00
2022-08-08 00:00:00,0.00025627633085365073,0.0,1.9040609920726297,0.0,0.33463271959366775,0.9900000000000001,321.5,-307.7911234129345,5.255519258888651,5.636370318693867,-1.134038957063189,0.0,23.46672720758483,1.7399999999999995,0.0,0.0,3.341546580281343e-06,4.212091283202034e-06,100.0,2022-08-08 00:00:00
2022-08-08 01:00:00,0.00016951027692623733,0.0,1.6740500057445047,0.0,0.2223303868688597,0.9900000000000001,320.3,-307.7911234129354,2.1457681217462454,2.273353603663346,-1.336676146059683,0.0,15.591322166414535,1.2300000000000002,0.0,0.0,1.4600978870387546e-06,1.5997982553250392e-06,100.0,2022-08-08 01:00:00
2022-08-08 02:00:00,0.00017481237862517664,0.0,1.6240622127757547,0.0,0.22851184561371302,0.9800000000000003,318.8,-307.791123412935,3.170577515164702,3.3603766478847286,-1.5150225627078435,0.0,16.024808187406602,1.43,0.0,0.0,2.0898951680995348e-06,2.4250592844517248e-06,100.0,2022-08-08 02:00:00
2022-08-08 03:00:00,7.348460421360427e-05,0.0,1.7940756405101297,0.1,0.0965367772759805,0.9299999999999999,314.8,-307.7911234129358,0.677942727844465,0.7153863617054863,-1.6739888440414656,0.0,6.769816832572748,0.9600000000000003,0.0,0.0,5.165185930596777e-07,4.531031826007609e-07,100.0,2022-08-08 03:00:00
2022-08-08 04:00:00,6.727595135025492e-05,0.0,2.0440756405101297,7.299999999999998,0.08900608363638726,0.9000000000000002,312.8,-307.79112341293546,0.0,0.0,-1.8039633229020269,0.0,6.241713264162541,0.58,0.0,0.0,0.0,0.0,100.0,2022-08-08 04:00:00
2022-08-08 05:00:00,5.704256630468371e-05,0.0,1.8740622127757547,35.9,0.07533606813997548,0.7699999999999998,300.0,-307.79112341293614,0.0,0.0,-1.8601979865028617,0.0,5.283078600560976,0.5999999999999999,0.0,0.0,0.0,0.0,100.0,2022-08-08 05:00:00
2022-08-08 06:00:00,1.3052368647113966e-05,0.0,1.3740622127757547,66.10000000000001,0.012858958648098443,0.58,280.09999999999997,-307.79112341293614,1.465560997708825,1.43862086276586,-1.8089006184327874,0.0,0.9017578291057528,1.09,0.0,0.0,2.0716140423828387e-06,0.0,100.0,2022-08-08 06:00:00
2022-08-08 07:00:00,0.0006003620165475495,0.0,1.7740561092601297,125.29999999999997,0.7826221674894149,0.8599999999999998,308.2,-307.79112341293614,1.96651787682603,1.9579124956037568,-1.5753060983479592,0.0,54.88280086114567,1.1999999999999997,0.0,0.0,2.8193939936694103e-06,0.0,100.0,2022-08-08 07:00:00
2022-08-08 08:00:00,0.0007670282013053928,0.0,2.0940634334788797,177.5,0.9946002906655822,0.8,303.7,-307.79112341293614,0.43620369499346306,0.1583186459400935,-0.5952471932395634,0.0,69.74815173475781,0.9600000000000003,0.0,0.0,2.2797885015373467e-07,0.0,92.69999694824219,2022-08-08 08:00:00
2022-08-08 09:00:00,0.001202805038518706,0.0,2.2140585506663797,269.7,1.5389860714099166,0.7899999999999998,303.3,-307.79112341293614,0.1720007946860331,0.04811599608123435,-7.748006361805594e-08,0.0,107.92419330035106,0.91,0.0,0.0,6.928703435697745e-08,0.0,91.5,2022-08-08 09:00:00
2022-08-08 10:00:00,0.0017758808495050426,0.0,2.0140768612132547,380.8,2.2295851739095056,0.7899999999999998,302.8,-307.77077770460176,2.592799650362847,0.28878530531300706,0.030102349533729207,0.0,156.3537096006078,1.3100000000000003,-4.0271116147327664e-08,-5.325550213509437e-09,4.569827919117034e-07,4.566167615021776e-09,89.5999984741211,2022-08-08 10:00:00
2022-08-08 11:00:00,0.001947725781745412,0.0,2.3340536678538797,370.8,2.4273763419271095,0.8599999999999998,310.9,-307.79112341293614,10.361779483421445,2.500718407480361,0.0,0.0,170.22417447796562,2.3500000000000005,0.0,0.0,3.60103450677172e-06,0.0,89.4000015258789,2022-08-08 11:00:00
2022-08-08 12:00:00,0.0016167558534922466,0.0,2.7140585506663797,288.59999999999997,2.014265195884244,0.8599999999999998,312.5,-307.76733812991176,15.66155898044931,0.7669924982079369,0.035191737619144174,0.0,141.25400508636463,2.829999999999999,-3.5630299800474413e-07,-8.186630277983643e-08,1.5439450322817698e-06,8.495769207503664e-09,84.5,2022-08-08 12:00:00
